Trans no,Type,Date,Num,Name,Source Name,Name Address,Name Street1,Name Street2,Name City,Name County,Name Postcode,Name Contact,Name Phone no,Name E-Mail,Memo,Terms,Item,Item Description,Account,Class,VAT Code,Split,Qty,Sales Price,Debit,Credit,Amount,Balance,Account Type,Net Amount,VAT Amount,Gross Amount,Ship To City,Ship To Address 1,Ship To Address 2,Ship To County,Ship Postcode
59,Cheque,10/01/2022,PV202201002,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,1500.00,-1500,-1500,Bank,-1500,0,-1500,,,,,
59,Cheque,10/01/2022,PV202201002,Social security office,Social security office,,,,,,,,,,Social Security Fund  DEC 21,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,1500,1500.00,,1500,0,Accounts Payable,1500,0,1500,,,,,
61,Cheque,12/01/2022,PV202201004,Social security office,Social security office,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,5121101  Contribution to Social,,,,278.00,-278,-278,Bank,-278,0,-278,,,,,
61,Cheque,12/01/2022,PV202201004,Social security office,Social security office,,,,,,,,,,Social Security Fund Yearly 22 part1,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,278,278.00,,278,0,Expense,278,0,278,,,,,
62,Cheque,17/01/2022,PV202201001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,300000.00,-300000,-300000,Bank,-300000,0,-300000,,,,,
62,Cheque,17/01/2022,PV202201001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service Jan-Mar 22,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,308653.85,308653.85,,308653.85,8653.85,Expense,308653.85,0,308653.85,,,,,
62,Cheque,17/01/2022,PV202201001,Social security office,TIS OPERATION ASIA,,,,,,,,,,Office Service Jan-Mar 22,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-8653.85,,8653.85,-8653.85,0,Accounts Payable,-8653.85,0,-8653.85,,,,,
60,Cheque,31/01/2022,PV202201003,Employee,Employee,,,,,,,,,,Salary JAN 22 - Pitchaya,,,,1112102  Bank C/A -Kbank -0612,,,-SPLIT-,,,,61250.00,-61250,-61250,Bank,-61250,0,-61250,,,,,
60,Cheque,31/01/2022,PV202201003,Employee,Employee,,,,,,,,,,Salary JAN 22 - Pitchaya,,,,5111101  Employee salary,,,1112102  Bank C/A -Kbank -0612,,62000,62000.00,,62000,750,Expense,62000,0,62000,,,,,
60,Cheque,31/01/2022,PV202201003,Employee,Employee,,,,,,,,,,Salary JAN 22 - Pitchaya,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,750,750.00,,750,1500,Expense,750,0,750,,,,,
60,Cheque,31/01/2022,PV202201003,Social security office,Employee,,,,,,,,,,Salary JAN 22 - Pitchaya,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,-1500,,1500.00,-1500,0,Accounts Payable,-1500,0,-1500,,,,,
67,Cheque,09/02/2022,PV202202003,Social security office,Social security office,,,,,,,,,,,,,,1112102  Bank C/A -Kbank -0612,,,2122102  Accrued Social securit,,,,1500.00,-1500,-1500,Bank,-1500,0,-1500,,,,,
67,Cheque,09/02/2022,PV202202003,Social security office,Social security office,,,,,,,,,,Social Security Fund  JAN 22,,,,2122102  Accrued Social securit,,,1112102  Bank C/A -Kbank -0612,,1500,1500.00,,1500,0,Accounts Payable,1500,0,1500,,,,,
68,Cheque,09/02/2022,PV202202002,Revenue department,Revenue department,,,,,,,,,,Social Security Fund  Nov 21,,,,1112102  Bank C/A -Kbank -0612,,,5121101  Contribution to Social,,,,777.50,-777.5,-777.5,Bank,-777.5,0,-777.5,,,,,
68,Cheque,09/02/2022,PV202202002,Revenue department,Revenue department,,,,,,,,,,Social Security Fund  Nov 21,,,,5121101  Contribution to Social,,,1112102  Bank C/A -Kbank -0612,,777.5,777.50,,777.5,0,Expense,777.5,0,777.5,,,,,
63,Cheque,15/02/2022,PV202202001,Social security office,Social security office,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,8668.85,-8668.85,-8668.85,Bank,-8668.85,0,-8668.85,,,,,
63,Cheque,15/02/2022,PV202202001,Social security office,Social security office,,,,,,,,,,PND53 of JAN 22,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,8653.85,8653.85,,8653.85,-15,Accounts Payable,8653.85,0,8653.85,,,,,
63,Cheque,15/02/2022,PV202202001,Social security office,Social security office,,,,,,,,,,PND53 of JAN 22,,,,5131111  Bank charge,,,1112101  Bank S/A -Kbank -9996,,15,15.00,,15,0,Expense,15,0,15,,,,,
64,Cheque,09/03/2022,PV202203001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,300000.01,-300000.01,-300000.01,Bank,-300000.01,0,-300000.01,,,,,
64,Cheque,09/03/2022,PV202203001,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service Apr-Jun 22,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,308653.86,308653.86,,308653.86,8653.85,Expense,308653.86,0,308653.86,,,,,
64,Cheque,09/03/2022,PV202203001,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service Apr-Jun 22,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-8653.85,,8653.85,-8653.85,0,Accounts Payable,-8653.85,0,-8653.85,,,,,
65,Cheque,09/03/2022,PV202202004,Social security office,Social security office,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,5121101  Contribution to Social,,,,500.00,-500,-500,Bank,-500,0,-500,,,,,
65,Cheque,09/03/2022,PV202202004,Social security office,Social security office,,,,,,,,,,Social Security Fund Yearly 2021 part2,,,,5121101  Contribution to Social,,,1112101  Bank S/A -Kbank -9996,,500,500.00,,500,0,Expense,500,0,500,,,,,
66,Cheque,08/04/2022,PV202204001,Revenue department,Revenue department,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,8668.85,-8668.85,-8668.85,Bank,-8668.85,0,-8668.85,,,,,
66,Cheque,08/04/2022,PV202204001,Revenue department,Revenue department,,,,,,,,,,PND53 of MAR 22,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,8653.85,8653.85,,8653.85,-15,Accounts Payable,8653.85,0,8653.85,,,,,
66,Cheque,08/04/2022,PV202204001,Revenue department,Revenue department,,,,,,,,,,PND53 of MAR 22,,,,5131111  Bank charge,,,1112101  Bank S/A -Kbank -9996,,15,15.00,,15,0,Expense,15,0,15,,,,,
69,General Journal,17/06/2022,RV202206001,KBANK,KBANK,,,,,,,,,,Interest Income 22,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,85.84,,85.84,85.84,Bank,0,0,0,,,,,
69,General Journal,17/06/2022,RV202206001,KBANK,KBANK,,,,,,,,,,Interest Income 22,,,,4200001  Interest income,,,1112101  Bank S/A -Kbank -9996,,,,85.84,-85.84,0,Income,0,0,0,,,,,
69,General Journal,17/06/2022,RV202206001,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22,,,,1131103  Withholding income tax,,,1112101  Bank S/A -Kbank -9996,,,12.88,,12.88,12.88,Other Current Asset,0,0,0,,,,,
69,General Journal,17/06/2022,RV202206001,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22,,,,1112101  Bank S/A -Kbank -9996,,,1112101  Bank S/A -Kbank -9996,,,,12.88,-12.88,0,Bank,0,0,0,,,,,
87,Cheque,20/06/2022,PV202206001,Audit,Audit,,,,,,,,,,Audit fee 2021,,,,1112101  Bank S/A -Kbank -9996,,,2122104  Accrued Other,,,,8000.00,-8000,-8000,Bank,-8000,0,-8000,,,,,
87,Cheque,20/06/2022,PV202206001,Audit,Audit,,,,,,,,,,Audit fee 2021,,,,2122104  Accrued Other,,,1112101  Bank S/A -Kbank -9996,,8000,8000.00,,8000,0,Accounts Payable,8000,0,8000,,,,,
88,General Journal,20/06/2022,JV202206001,Revenue department,Revenue department,,,,,,,,,,Audit fee 2021 - WHT Ref. PV202206001,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,,,240.00,-240,-240,Accounts Payable,0,0,0,,,,,
88,General Journal,20/06/2022,JV202206001,Revenue department,Revenue department,,,,,,,,,,Audit fee 2021 - WHT Ref. PV202206001,,,,1112101  Bank S/A -Kbank -9996,,,2224104  WHT - Other **,,,240.00,,240,0,Bank,0,0,0,,,,,
78,General Journal,27/06/2022,RV202206002,KBANK,KBANK,,,,,,,,,,Interest Income 22 (23.87 USDx35.2528),,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,841.48,,841.48,841.48,Bank,0,0,0,,,,,
78,General Journal,27/06/2022,RV202206002,KBANK,KBANK,,,,,,,,,,Interest Income 22 (23.87 USDx35.2528),,,,4200001  Interest income,,,1112103 Bank S/A-Kbank-4253 USD,,,,841.48,-841.48,0,Income,0,0,0,,,,,
78,General Journal,27/06/2022,RV202206002,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22 (3.58 USDx35.2528),,,,1131103  Withholding income tax,,,1112103 Bank S/A-Kbank-4253 USD,,,126.21,,126.21,126.21,Other Current Asset,0,0,0,,,,,
78,General Journal,27/06/2022,RV202206002,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22 (3.58 USDx35.2528),,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,,126.21,-126.21,0,Bank,0,0,0,,,,,
71,Cheque,28/06/2022,PV202206002,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,100000.00,-100000,-100000,Bank,-100000,0,-100000,,,,,
71,Cheque,28/06/2022,PV202206002,TIS OPERATION ASIA,TIS OPERATION ASIA,,,,,,,,,,Office Service Fee Jul 22,,,,5161101  Virtual office service,,,1112101  Bank S/A -Kbank -9996,,102884.62,102884.62,,102884.62,2884.62,Expense,102884.62,0,102884.62,,,,,
71,Cheque,28/06/2022,PV202206002,Revenue department,TIS OPERATION ASIA,,,,,,,,,,Office Service Fee Jul 22,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,-2884.62,,2884.62,-2884.62,0,Accounts Payable,-2884.62,0,-2884.62,,,,,
72,Cheque,06/07/2022,PV202207001,Revenue department,Revenue department,,,,,,,,,,,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,3139.62,-3139.62,-3139.62,Bank,-3139.62,0,-3139.62,,,,,
72,Cheque,06/07/2022,PV202207001,Revenue department,Revenue department,,,,,,,,,,PND53 of JUN 22,,,,2224104  WHT - Other **,,,1112101  Bank S/A -Kbank -9996,,3124.62,3124.62,,3124.62,-15,Accounts Payable,3124.62,0,3124.62,,,,,
72,Cheque,06/07/2022,PV202207001,Revenue department,Revenue department,,,,,,,,,,PND53 of JUN 22,,,,5131111  Bank charge,,,1112101  Bank S/A -Kbank -9996,,15,15.00,,15,0,Expense,15,0,15,,,,,
73,General Journal,16/12/2022,RV202212001,KBANK,KBANK,,,,,,,,,,Interest Income 22,,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,15.94,,15.94,15.94,Bank,0,0,0,,,,,
73,General Journal,16/12/2022,RV202212001,KBANK,KBANK,,,,,,,,,,Interest Income 22,,,,4200001  Interest income,,,1112101  Bank S/A -Kbank -9996,,,,15.94,-15.94,0,Income,0,0,0,,,,,
73,General Journal,16/12/2022,RV202212001,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22,,,,1131103  Withholding income tax,,,1112101  Bank S/A -Kbank -9996,,,2.39,,2.39,2.39,Other Current Asset,0,0,0,,,,,
73,General Journal,16/12/2022,RV202212001,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22,,,,1112101  Bank S/A -Kbank -9996,,,1112101  Bank S/A -Kbank -9996,,,,2.39,-2.39,0,Bank,0,0,0,,,,,
85,General Journal,23/12/2022,RV202212002,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"AP CARYON (HQ) - Spot hedging trade of TIS-CARYON (HQ) (USD443,885.12@34.9926)",,,,2121104  AP - Other,,,1112103 Bank S/A-Kbank-4253 USD,,,,15532694.45,-15532694.45,-15532694.45,Accounts Payable,0,0,0,,,,,
85,General Journal,23/12/2022,RV202212002,KBANK,Caryon SA - HQ,,,,,,,,,,"Receive from TIS Petroluem Asia (HQ) - Spot hedging trade of TIS-CARYON (HQ) USD443,885.12",,,,1112103 Bank S/A-Kbank-4253 USD,,,2121104  AP - Other,,,15532694.45,,15532694.45,0,Bank,0,0,0,,,,,
79,General Journal,26/12/2022,RV202212003,KBANK,KBANK,,,,,,,,,,Interest Income 22 (25.35 USDx34.5683),,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,876.31,,876.31,876.31,Bank,0,0,0,,,,,
79,General Journal,26/12/2022,RV202212003,KBANK,KBANK,,,,,,,,,,Interest Income 22 (25.35 USDx34.5683),,,,4200001  Interest income,,,1112103 Bank S/A-Kbank-4253 USD,,,,876.31,-876.31,0,Income,0,0,0,,,,,
79,General Journal,26/12/2022,RV202212003,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22 (3.80 USDx34.5683),,,,1131103  Withholding income tax,,,1112103 Bank S/A-Kbank-4253 USD,,,131.36,,131.36,131.36,Other Current Asset,0,0,0,,,,,
79,General Journal,26/12/2022,RV202212003,KBANK,KBANK,,,,,,,,,,Interest Income Tax 22 (3.80 USDx34.5683),,,,1112103 Bank S/A-Kbank-4253 USD,,,1112103 Bank S/A-Kbank-4253 USD,,,,131.36,-131.36,0,Bank,0,0,0,,,,,
80,General Journal,31/12/2022,JV202212001,Audit,Audit,,,,,,,,,,Audit fee for 2022 - BAS,,,,2122104  Accrued Other,,,5171101  Audit fee,,,,8000.00,-8000,-8000,Accounts Payable,0,0,0,,,,,
80,General Journal,31/12/2022,JV202212001,Audit,Audit,,,,,,,,,,Audit fee for 2022 - BAS,,,,5171101  Audit fee,,,2122104  Accrued Other,,,8000.00,,8000,0,Expense,0,0,0,,,,,
86,General Journal,31/12/2022,JV202212002,,,,,,,,,,,,"Adj. Exchange rate as of 31/12/2022 [(USD561,972.29@34.3913) - 19,458,795.95]",,,,1112103 Bank S/A-Kbank-4253 USD,,,7111102 Exchange loss,,,,131838.33,-131838.33,-131838.33,Bank,0,0,0,,,,,
86,General Journal,31/12/2022,JV202212002,,,,,,,,,,,,"Adj. Exchange rate as of 31/12/2022 [(USD561,972.29@34.3913) - 19,458,795.95]",,,,7111102 Exchange loss,,,1112103 Bank S/A-Kbank-4253 USD,,,131838.33,,131838.33,0,Expense,0,0,0,,,,,
89,General Journal,31/12/2022,JV202212003,Social security office,Social security office,,,,,,,,,,Audit Adjustment for 2022 (AJE-1) Reverse Acrrued SSO for Nov.21 (Ref.PV202111002),,,,2122102  Accrued Social securit,,,-SPLIT-,,,750.00,,750,750,Accounts Payable,0,0,0,,,,,
89,General Journal,31/12/2022,JV202212003,Social security office,Social security office,,,,,,,,,,Audit Adjustment for 2022 (AJE-1) SSO for Nov.21 Fine & Penalty,,,,5181103 Fine & Penalty,,,2122102  Accrued Social securit,,,27.50,,27.5,777.5,Expense,0,0,0,,,,,
89,General Journal,31/12/2022,JV202212003,Social security office,Social security office,,,,,,,,,,Audit Adjustment for 2022 (AJE-1) Reverse Contribution to Social over record (Ref.PV202202002),,,,5121101  Contribution to Social,,,2122102  Accrued Social securit,,,,777.50,-777.5,0,Expense,0,0,0,,,,,
95,Cheque,26/01/2023,PV202301001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Nov22-Jan23 CHF 20,296 (Convert USD 22,500@32.5341 to SV#996 THB)",,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,,732017.25,-732017.25,-732017.25,Bank,-732017.25,0,-732017.25,,,,,
95,Cheque,26/01/2023,PV202301001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Nov22-Jan23 CHF 20,296 (Convert USD 22,500@32.52 to SV#996 THB)",,,,1112101  Bank S/A -Kbank -9996,,,1112103 Bank S/A-Kbank-4253 USD,,731700,731700.00,,731700,-317.25,Bank,731700,0,731700,,,,,
95,Cheque,26/01/2023,PV202301001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Exchange loss : Marko expense Nov22-Jan23 CHF 20,296 [Convert USD 22,500@(32.5341-32.52) to SV#9...",,,,7111102 Exchange loss,,,1112103 Bank S/A-Kbank-4253 USD,,317.25,317.25,,317.25,0,Expense,317.25,0,317.25,,,,,
136,Cheque,26/01/2023,PV202301002,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Nov22-Jan23 CHF 20,296 (from SV#996 THB to Marko CHF 20,296@35.94179) & Bank fee",,,,1112101  Bank S/A -Kbank -9996,,,-SPLIT-,,,,730774.57,-730774.57,-730774.57,Bank,-730774.57,0,-730774.57,,,,,
136,Cheque,26/01/2023,PV202301002,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Nov22-Jan23 CHF 20,296 (from SV#996 THB to Marko USD 22,268.34)",,,,2121104  AP - Other,,,1112101  Bank S/A -Kbank -9996,,779227.02,779227.02,,779227.02,48452.45,Accounts Payable,779227.02,0,779227.02,,,,,
136,Cheque,26/01/2023,PV202301002,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Exchange gain : Marko expense Nov22-Jan23 CHF 20,296",,,,7111101 Exchange gain,,,1112101  Bank S/A -Kbank -9996,,-48452.45,,48452.45,-48452.45,0,Expense,-48452.45,0,-48452.45,,,,,
96,General Journal,13/03/2023,RV202303001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"AP CARYON (HQ) - Receive transfer for HQ expense (USD1,499,786.43@34.7532)",,,,2121104  AP - Other,,,1112103 Bank S/A-Kbank-4253 USD,,,,52122377.76,-52122377.76,-52122377.76,Accounts Payable,0,0,0,,,,,
96,General Journal,13/03/2023,RV202303001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"AP CARYON (HQ) - Receive transfer for HQ expense (USD1,499,786.43@34.7532)",,,,1112103 Bank S/A-Kbank-4253 USD,,,2121104  AP - Other,,,52122377.76,,52122377.76,0,Bank,0,0,0,,,,,
99,Cheque,13/03/2023,PV202303002,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,"Loan to TIS Petroleum (Asia) Pte Ltd (USD 2,000,000@34.7532) from Caryon SA - HQ Request",,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,,69506400.00,-69506400,-69506400,Bank,-69506400,0,-69506400,,,,,
99,Cheque,13/03/2023,PV202303002,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,"Loan to TIS Petroleum (Asia) Pte Ltd (USD 2,000,000) from Caryon SA - HQ Request",,,,3000  Share Capital Account,,,1112103 Bank S/A-Kbank-4253 USD,,3538430.6,3538430.60,,3538430.6,-65967969.4,Equity,3538430.6,0,3538430.6,,,,,
99,Cheque,13/03/2023,PV202303002,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,"Exchange loss : Loan to TIS Petroleum (Asia) Pte Ltd (USD 2,000,000) from Caryon SA - HQ Request",,,,7111102 Exchange loss,,,1112103 Bank S/A-Kbank-4253 USD,,461505.2,461505.20,,461505.2,-65506464.2,Expense,461505.2,0,461505.2,,,,,
99,Cheque,13/03/2023,PV202303002,Caryon SA - HQ,"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"Loan to TIS Petroleum (Asia) Pte Ltd (USD 2,000,000) from Caryon SA - HQ Request",,,,2121104  AP - Other,,,1112103 Bank S/A-Kbank-4253 USD,,65506464.2,65506464.20,,65506464.2,0,Accounts Payable,65506464.2,0,65506464.2,,,,,
100,Cheque,13/03/2023,PV202303003,"TIS PETROLEUM (ASIA) PTE.,LTD.","TIS PETROLEUM (ASIA) PTE.,LTD.",,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,"Bank fee (USD 5,000@34.7532) - Loan to TIS Petroleum (Asia) Pte Ltd 2M ($) from Caryon SA - HQ R...",,,,1112103 Bank S/A-Kbank-4253 USD,,,2121104  AP - Other,,,,173766.00,-173766,-173766,Bank,-173766,0,-173766,,,,,
100,Cheque,13/03/2023,PV202303003,Caryon SA - HQ,"TIS PETROLEUM (ASIA) PTE.,LTD.",,,,,,,,,,"Bank fee (USD 5,000) - Loan to TIS Petroleum (Asia) Pte Ltd 2M ($) from Caryon SA - HQ Request",,,,2121104  AP - Other,,,1112103 Bank S/A-Kbank-4253 USD,,173766,173766.00,,173766,0,Accounts Payable,173766,0,173766,,,,,
101,Cheque,13/03/2023,PV202303004,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Foreign bank charge (Ref.RV202303001) Recceived Internal transfer from Swiss to Kbank (USD1,499,...",,,,1112101  Bank S/A -Kbank -9996,,,2121104  AP - Other,,,,500.00,-500,-500,Bank,-500,0,-500,,,,,
101,Cheque,13/03/2023,PV202303004,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Foreign bank charge (Ref.RV202303001) Recceived Internal transfer from Swiss to Kbank (USD1,499,...",,,,2121104  AP - Other,,,1112101  Bank S/A -Kbank -9996,,500,500.00,,500,0,Accounts Payable,500,0,500,,,,,
102,General Journal,13/03/2023,RV202303002,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"AP CARYON (HQ) - Receive transfer for HQ expense (CHF18,776.08@38.0658)",,,,2121104  AP - Other,,,1112104 Bank S/A-Kbank-4261 CHF,,,,714726.51,-714726.51,-714726.51,Accounts Payable,0,0,0,,,,,
102,General Journal,13/03/2023,RV202303002,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"AP CARYON (HQ) - Receive transfer for HQ expense (CHF18,776.08@38.0658)",,,,1112104 Bank S/A-Kbank-4261 CHF,,,2121104  AP - Other,,,714726.51,,714726.51,0,Bank,0,0,0,,,,,
104,Cheque,13/03/2023,PV202303006,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,Foreign bank charge (Ref.RV202303002) Recceived Internal transfer from Swiss to Kbank (CHF),,,,1112101  Bank S/A -Kbank -9996,,,2121104  AP - Other,,,,500.00,-500,-500,Bank,-500,0,-500,,,,,
104,Cheque,13/03/2023,PV202303006,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,Foreign bank charge (Ref.RV202303002) Recceived Internal transfer from Swiss to Kbank (CHF),,,,2121104  AP - Other,,,1112101  Bank S/A -Kbank -9996,,500,500.00,,500,0,Accounts Payable,500,0,500,,,,,
103,Cheque,23/03/2023,PV202303005,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Feb-Mar.23 (CHF 17,906.71@37.5659) & Bank fee (CHF 154.53@37.5659)",,,,1112104 Bank S/A-Kbank-4261 CHF,,,-SPLIT-,,,,672681.68,-672681.68,-672681.68,Bank,-672681.68,0,-672681.68,,,,,
103,Cheque,23/03/2023,PV202303005,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Feb-Mar.23 (CHF 17,906.71@38.0658) & Bank fee (CHF 154.53@38.0658)",,,,2121104  AP - Other,,,1112104 Bank S/A-Kbank-4261 CHF,,687515.55,687515.55,,687515.55,14833.87,Accounts Payable,687515.55,0,687515.55,,,,,
103,Cheque,23/03/2023,PV202303005,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Feb-Mar.23 (CHF 17,906.71) - Bank fee (CHF 154.53@37.5659)",,,,1112104 Bank S/A-Kbank-4261 CHF,,,1112104 Bank S/A-Kbank-4261 CHF,,-5805.06,,5805.06,-5805.06,9028.81,Bank,-5805.06,0,-5805.06,,,,,
103,Cheque,23/03/2023,PV202303005,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Exchange gain : Marko expense Feb-Mar.23 (CHF 17,906.71)",,,,7111101 Exchange gain,,,1112104 Bank S/A-Kbank-4261 CHF,,-9028.81,,9028.81,-9028.81,0,Expense,-9028.81,0,-9028.81,,,,,
105,Cheque,07/04/2023,PV202304001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Feb-Mar.23 CHF 23,981.91 (USD 26,667.78@34.2687) & Bank fee (THB 1,300)",,,,1112103 Bank S/A-Kbank-4253 USD,,,-SPLIT-,,,,913870.15,-913870.15,-913870.15,Bank,-913870.15,0,-913870.15,,,,,
105,Cheque,07/04/2023,PV202304001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Feb-Mar.23 CHF 23,981.91 (USD 26,667.78@34.2687)",,,,2121104  AP - Other,,,1112103 Bank S/A-Kbank-4253 USD,,928109.07,928109.07,,928109.07,14238.92,Accounts Payable,928109.07,0,928109.07,,,,,
105,Cheque,07/04/2023,PV202304001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Marko expense Feb-Mar.23 CHF 23,981.91 - Bank fee (THB 1,300)",,,,1112101  Bank S/A -Kbank -9996,,,1112103 Bank S/A-Kbank-4253 USD,,-1300,,1300.00,-1300,12938.92,Bank,-1300,0,-1300,,,,,
105,Cheque,07/04/2023,PV202304001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"Exchange gain : Marko expense Feb-Mar.23 CHF 23,981.91 (USD 26,667.78)",,,,7111101 Exchange gain,,,1112103 Bank S/A-Kbank-4253 USD,,-12938.92,,12938.92,-12938.92,0,Expense,-12938.92,0,-12938.92,,,,,
108,General Journal,27/04/2023,RV202304001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"TIS Petroleum (Asia) Return loan (USD 2,000,000) to Caryon SA - HQ Ref.PV202303002",,,,2121104  AP - Other,,,-SPLIT-,,,,64517218.40,-64517218.4,-64517218.4,Accounts Payable,0,0,0,,,,,
108,General Journal,27/04/2023,RV202304001,"TIS PETROLEUM (ASIA) PTE.,LTD.",Caryon SA - HQ,,,,TIS PETROLEUM (ASIA) PTE.,LTD.,,,,,"TIS Petroleum (Asia) Return loan (USD 2,000,000) to Caryon SA - HQ Ref.PV202303002",,,,1112103 Bank S/A-Kbank-4253 USD,,,2121104  AP - Other,,,68522999.80,,68522999.8,4005781.4,Bank,0,0,0,,,,,
108,General Journal,27/04/2023,RV202304001,KBANK,Caryon SA - HQ,,,,,,,,,,"TIS Petroleum (Asia) Return loan (USD 2,000,000) to Caryon SA - HQ - Bank fee",,,,1112101  Bank S/A -Kbank -9996,,,2121104  AP - Other,,,,500.00,-500,4005281.4,Bank,0,0,0,,,,,
108,General Journal,27/04/2023,RV202304001,KBANK,Caryon SA - HQ,,,,,,,,,,"TIS Petroleum (Asia) Return loan (USD 2,000,000) to Caryon SA - HQ - Bank fee",,,,5131111  Bank charge,,,2121104  AP - Other,,,500.00,,500,4005781.4,Expense,0,0,0,,,,,
108,General Journal,27/04/2023,RV202304001,Caryon SA - HQ,Caryon SA - HQ,,,,,,,,,,"TIS Petroleum (Asia) Return loan (USD 2,000,000) to Caryon SA - HQ Ref.PV202303002",,,,3000  Share Capital Account,,,2121104  AP - Other,,,,4005781.40,-4005781.4,0,Equity,0,0,0,,,,,
