Trans #,Type,Date,Num,Name,Source Name,Description,Due Date,Item,Account,Class,Tax Code,Qty,Sales Price,Debit,Credit,AMT,Amount,Account Type,Tax Amount
"87,422",General Journal,23/05/2023,Bank Rec,,,CC Topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,422",General Journal,23/05/2023,Bank Rec,,,Etoll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,422",General Journal,23/05/2023,Bank Rec,,,Etoll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,432",General Journal,24/05/2023,Bank Rec,,,Etopup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,432",General Journal,24/05/2023,Bank Rec,,,Etopup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,433",General Journal,24/05/2023,Bank Rec,,,CCpayment for inv no 78894,,,111000 · Westpac,Sydney:Sydney Other,,,,31.14,,31.14,31.14,Bank,
"87,433",General Journal,24/05/2023,Bank Rec,,,CCpayment for inv no 78894,,,111903 · Borrowing Expenses,Sydney:Sydney Other,,,,,31.14,-31.14,-31.14,Other Asset,
"87,434",General Journal,25/05/2023,Bank Rec,,,CCtopup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,434",General Journal,25/05/2023,Bank Rec,,,CCtopup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,434",General Journal,25/05/2023,Bank Rec,,,Tf intercompany Starluf,,,111000 · Westpac,Sydney:Sydney Other,,,,,"16,444.55",-16444.55,"-16,444.55",Bank,
"87,434",General Journal,25/05/2023,Bank Rec,,,Tf intercompany Starlufp,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,"16,444.55",,16444.55,"16,444.55",Bank,
"87,823",General Journal,26/05/2023,Bank Rec,,,Starluff Crane BAS Q3,,,111000 · Westpac,Sydney:Sydney Other,,,,,"50,035.00",-50035,"-50,035.00",Bank,
"87,823",General Journal,26/05/2023,Bank Rec,Australian Taxation Office,,Starluff Crane BAS Q3,,,213000 · GST Liability,Sydney:Sydney Other,,,,"20,553.00",,20553,"20,553.00",Other Current Liability,
"87,823",General Journal,26/05/2023,Bank Rec,,,Starluff Crane BAS Q3,,,212001 · PAYG Tax Payable,Sydney:Sydney Other,,,,"29,482.00",,29482,"29,482.00",Other Current Liability,
"87,823",General Journal,26/05/2023,Bank Rec,,,Starluf BAS Q3,,,111000 · Westpac,Sydney:Sydney Other,,,,,"46,250.00",-46250,"-46,250.00",Bank,
"87,823",General Journal,26/05/2023,Bank Rec,,,Starluf BAS Q3,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,"46,250.00",,46250,"46,250.00",Bank,
"87,823",General Journal,26/05/2023,Bank Rec,,,VW Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,805.69,-805.69,-805.69,Bank,
"87,823",General Journal,26/05/2023,Bank Rec,,,VW Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,805.69,,805.69,805.69,Other Current Liability,
"87,823",General Journal,26/05/2023,Bank Rec,,,Nissan Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,914.49,-914.49,-914.49,Bank,
"87,823",General Journal,26/05/2023,Bank Rec,,,Nissan Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,914.49,,914.49,914.49,Other Current Liability,
"87,838",General Journal,29/05/2023,Bank Rec,,,CC topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"7,000.00",-7000,"-7,000.00",Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,CC topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"7,000.00",,7000,"7,000.00",Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,VW Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,737.52,-737.52,-737.52,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,VW Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,737.52,,737.52,737.52,Other Current Liability,
"87,838",General Journal,29/05/2023,Bank Rec,,,VW Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,737.52,-737.52,-737.52,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,VW Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,737.52,,737.52,737.52,Other Current Liability,
"87,838",General Journal,29/05/2023,Bank Rec,,,Nissan Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,569.63,-569.63,-569.63,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,Nissan Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,569.63,,569.63,569.63,Other Current Liability,
"87,838",General Journal,29/05/2023,Bank Rec,,,Nissan Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,569.63,-569.63,-569.63,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,Nissan Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,569.63,,569.63,569.63,Other Current Liability,
"87,838",General Journal,29/05/2023,Bank Rec,,,EToll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,EToll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,EToll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,838",General Journal,29/05/2023,Bank Rec,,,EToll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,840",General Journal,30/05/2023,Bank Rec,,,ICare Insurance,,,111000 · Westpac,Sydney:Sydney Other,,,,,"1,709.46",-1709.46,"-1,709.46",Bank,
"87,840",General Journal,30/05/2023,Bank Rec,,,ICare Insurance,,,611860 · Works Cover Insurance,Sydney:Sydney Other,,,,569.82,,569.82,569.82,Expense,
"87,840",General Journal,30/05/2023,Bank Rec,,,CC topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,840",General Journal,30/05/2023,Bank Rec,,,CC topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,840",General Journal,30/05/2023,Bank Rec,,,CC topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,840",General Journal,30/05/2023,Bank Rec,,,CC topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,840",General Journal,30/05/2023,Bank Rec,,,ICare Insurance,,,611860 · Works Cover Insurance,Newcastle,,,,569.82,,569.82,569.82,Expense,
"87,840",General Journal,30/05/2023,Bank Rec,,,ICare Insurance,,,611860 · Works Cover Insurance,New Crane,,,,569.82,,569.82,569.82,Expense,
"87,841",General Journal,30/05/2023,Bank Rec,,,QBE Public  Laibility Insurance,,,111000 · Westpac,Sydney:Sydney Other,,,,0,,0,0,Bank,
"87,841",General Journal,30/05/2023,Bank Rec,,,QBE Public  Laibility Insurance,,,614200 · Employer's Liability,Sydney:Sydney Other,,,,0,,0,0,Expense,
"87,843",General Journal,31/05/2023,Bank Rec,,,Nissan Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,759.77,-759.77,-759.77,Bank,
"87,843",General Journal,31/05/2023,Bank Rec,,,Nissan Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,759.77,,759.77,759.77,Other Current Liability,
"87,843",General Journal,31/05/2023,Bank Rec,,,ICare Workcover Insurance,,,111000 · Westpac,Sydney:Sydney Other,,,,0,,0,0,Bank,
"87,843",General Journal,31/05/2023,Bank Rec,,,ICare Workcover Insurance,,,111020 · CLEARING ACCOUNT,Sydney:Sydney Other,,,,0,,0,0,Bank,
"87,843",General Journal,31/05/2023,Bank Rec,,,EToll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,843",General Journal,31/05/2023,Bank Rec,,,EToll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"88,001",General Journal,31/05/2023,LaboHireM23,,,LabourHireMay23 Intercompany,,GSP,611038 · Labour Hire,Newcastle,GSP,,,"7,959.38",,7959.38,"7,959.38",Expense,795.94
"88,001",General Journal,31/05/2023,LaboHireM23,,,LabourHireMay23 Intercompany,,GSP,611038 · Labour Hire,Sydney:Sydney Other,GSP,,,"76,939.07",,76939.07,"76,939.07",Expense,"7,693.91"
"88,001",General Journal,31/05/2023,LaboHireM23,,,LabourHireMay23 Intercompany,,,213001 · GST Payable ( Purchase),Sydney:Sydney Other,,,,0,,0,0,Other Current Liability,
"88,001",General Journal,31/05/2023,LaboHireM23,,,LabourHireMay23 Intercompany,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,,"93,388.30",-93388.3,"-93,388.30",Bank,
"88,001",General Journal,31/05/2023,LaboHireM23,Australian Taxation Office,,LabourHireMay23 Intercompany,,GSP,213000 · GST Liability,,GSP,,,"8,489.85",,8489.85,"8,489.85",Other Current Liability,
"88,002",General Journal,31/05/2023,InterSupM23,,,Labour Hire Super Tf intercompany,,GSP,615008 · AMP Flexible Lifetime,Sydney:Sydney Other,GSP,,,662.32,,662.32,662.32,Expense,66.23
"88,002",General Journal,31/05/2023,InterSupM23,,,Labour Hire Super Tf intercompany,,GSP,615001 · Australian Super,Sydney:Sydney Other,GSP,,,"4,556.83",,4556.83,"4,556.83",Expense,455.68
"88,002",General Journal,31/05/2023,InterSupM23,,,Labour Hire Super Tf intercompany,,GSP,615001 · Australian Super,Newcastle,GSP,,,694.46,,694.46,694.46,Expense,69.45
"88,002",General Journal,31/05/2023,InterSupM23,,,Labour Hire Super Tf intercompany,,GSP,615021 · BT Super,Sydney:Sydney Other,GSP,,,734.16,,734.16,734.16,Expense,73.42
"88,002",General Journal,31/05/2023,InterSupM23,,,Labour Hire Super Tf intercompany,,GSP,615012 · Energy Super,Sydney:Sydney Other,GSP,,,716.6,,716.6,716.6,Expense,71.66
"88,002",General Journal,31/05/2023,InterSupM23,,,Labour Hire Super Tf intercompany,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,,"8,100.81",-8100.81,"-8,100.81",Bank,
"88,002",General Journal,31/05/2023,InterSupM23,Australian Taxation Office,,Labour Hire Super Tf intercompany,,GSP,213000 · GST Liability,,GSP,,,736.44,,736.44,736.44,Other Current Liability,
"88,038",General Journal,31/05/2023,COGSadjMay,,,COGS adj May23,,,511000 · Cost of Goods Sold,New Crane,,,,"36,562.53",,36562.53,"36,562.53",Cost of Goods Sold,
"88,038",General Journal,31/05/2023,COGSadjMay,,,COGS adj May23,,,511000 · Cost of Goods Sold,Newcastle,,,,"5,064.99",,5064.99,"5,064.99",Cost of Goods Sold,
"88,038",General Journal,31/05/2023,COGSadjMay,,,COGS adj May23,,,511000 · Cost of Goods Sold,Sydney:Sydney Other,,,,"28,545.68",,28545.68,"28,545.68",Cost of Goods Sold,
"88,038",General Journal,31/05/2023,COGSadjMay,,,COGS adj May23,,,511000 · Cost of Goods Sold,Sydney:Sydney Water,,,,947.6,,947.6,947.6,Cost of Goods Sold,
"88,038",General Journal,31/05/2023,COGSadjMay,,,COGS adj May23,,,111600 · Inventory Asset,Sydney:Sydney Other,,,,,"71,120.80",-71120.8,"-71,120.80",Other Current Asset,
"88,048",General Journal,31/05/2023,DepreMay23,,,Depreciation May23,,,611030 · Depreciation Expense,Sydney:Sydney Other,,,,"4,573.42",,4573.42,"4,573.42",Expense,
"88,048",General Journal,31/05/2023,DepreMay23,,,Depreciation May23,,,111201 · Accum Dep-Capital Works,Sydney:Sydney Other,,,,,277.01,-277.01,-277.01,Fixed Asset,
"88,048",General Journal,31/05/2023,DepreMay23,,,Depreciation May23,,,111501 · Accumulated Depreciation,Sydney:Sydney Other,,,,,"4,020.70",-4020.7,"-4,020.70",Fixed Asset,
"88,048",General Journal,31/05/2023,DepreMay23,,,Depreciation May23,,,111701 · Accumulated Depreciation-other,Sydney:Sydney Other,,,,,275.71,-275.71,-275.71,Fixed Asset,
"88,072",General Journal,31/05/2023,CCMay23,,,,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,,"16,941.22",-16941.22,"-16,941.22",Bank,
"88,072",General Journal,31/05/2023,CCMay23,,,,,FRE,111401 · Loan to Scott,Sydney:Sydney Other,FRE,,,"6,645.85",,6645.85,"6,645.85",Other Asset,0
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,510000 · Cost of Good Sold,Sydney:Sydney Other,GSP,,,"2,711.68",,2711.68,"2,711.68",Cost of Goods Sold,271.17
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,611016 · Training,Sydney:Sydney Other,GSP,,,681.82,,681.82,681.82,Expense,68.18
"88,072",General Journal,31/05/2023,CCMay23,,,,,FRE,611004 · Donation,Sydney:Sydney Other,FRE,,,15,,15,15,Expense,0
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,611017 · Travel-Domestic,Sydney:Sydney Other,GSP,,,"1,888.63",,1888.63,"1,888.63",Expense,188.86
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,611024 · IT Mantenance Exp,Sydney:Sydney Other,GSP,,,52.7,,52.7,52.7,Expense,5.27
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,611010 · Office Supplies,Sydney:Sydney Other,GSP,,,267.45,,267.45,267.45,Expense,26.75
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,612002 · Car Insurance,Sydney:Sydney Other,GSP,,,"3,210.21",,3210.21,"3,210.21",Expense,321.02
"88,072",General Journal,31/05/2023,CCMay23,,,,,GSP,612003 · Petrol,Sydney:Sydney Other,GSP,,,533.3,,533.3,533.3,Expense,53.33
"88,072",General Journal,31/05/2023,CCMay23,Australian Taxation Office,,,,FRE,213000 · GST Liability,,FRE,,,0,,0,0,Other Current Liability,
"88,072",General Journal,31/05/2023,CCMay23,Australian Taxation Office,,,,GSP,213000 · GST Liability,,GSP,,,934.58,,934.58,934.58,Other Current Liability,
"89,388",General Journal,31/05/2023,InterInsM23,,,IntercomTrfWC May23,,GSP,611860 · Works Cover Insurance,Sydney:Sydney Other,GSP,,,"4,468.93",,4468.93,"4,468.93",Expense,446.89
"89,388",General Journal,31/05/2023,InterInsM23,,,IntercomTrfWC May23,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,,"4,915.82",-4915.82,"-4,915.82",Bank,
"89,388",General Journal,31/05/2023,InterInsM23,Australian Taxation Office,,IntercomTrfWC May23,,GSP,213000 · GST Liability,,GSP,,,446.89,,446.89,446.89,Other Current Liability,
"87,854",General Journal,01/06/2023,Bank Rec,,,Bank Charge,,,111000 · Westpac,Sydney:Sydney Other,,,,,22.66,-22.66,-22.66,Bank,
"87,854",General Journal,01/06/2023,Bank Rec,,,Bank Charge,,,617001 · Bank Charges,Sydney:Sydney Other,,,,22.66,,22.66,22.66,Expense,
"87,854",General Journal,01/06/2023,Bank Rec,,,Bank Charge,,,111000 · Westpac,Sydney:Sydney Other,,,,,20,-20,-20,Bank,
"87,854",General Journal,01/06/2023,Bank Rec,,,Bank Charge,,,617001 · Bank Charges,Sydney:Sydney Other,,,,20,,20,20,Expense,
"87,854",General Journal,01/06/2023,Bank Rec,,,Bank Charge,,,111000 · Westpac,Sydney:Sydney Other,,,,,36.84,-36.84,-36.84,Bank,
"87,854",General Journal,01/06/2023,Bank Rec,,,Bank Charge,,,617001 · Bank Charges,Sydney:Sydney Other,,,,36.84,,36.84,36.84,Expense,
"87,855",General Journal,01/06/2023,Bank Rec,,,Trf Starluf,,,111000 · Westpac,,,,,,"15,924.46",-15924.46,"-15,924.46",Bank,
"87,855",General Journal,01/06/2023,Bank Rec,,,Trf Starluf,,,111031 · Interco with Starluf Pty Ltd,,,,,"15,924.46",,15924.46,"15,924.46",Bank,
"96,482",General Journal,01/06/2023,Adv. Fuel,,,Super Refunded by ATO  Chris Terry,,,111001 · Everyday Savings-419898,,,,,"2,018.93",,2018.93,"2,018.93",Bank,
"96,482",General Journal,01/06/2023,Adv. Fuel,,,Super Refunded by ATO  Chris Terry,,,111031 · Interco with Starluf Pty Ltd,,,,,,"2,018.93",-2018.93,"-2,018.93",Bank,
"96,482",General Journal,01/06/2023,Adv. Fuel,,,Super Refunded by ATO Glynn Ewenn,,,111001 · Everyday Savings-419898,,,,,864.73,,864.73,864.73,Bank,
"96,482",General Journal,01/06/2023,Adv. Fuel,,,Super Refunded by ATO Glynn Ewenn,,,111031 · Interco with Starluf Pty Ltd,,,,,,864.73,-864.73,-864.73,Bank,
"87,856",General Journal,02/06/2023,Bank Rec,,,VW finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,735.94,-735.94,-735.94,Bank,
"87,856",General Journal,02/06/2023,Bank Rec,,,VW finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,735.94,,735.94,735.94,Other Current Liability,
"87,857",General Journal,05/06/2023,Bank Rec,,,CC topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,857",General Journal,05/06/2023,Bank Rec,,,CC topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,857",General Journal,05/06/2023,Bank Rec,,,CC topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,857",General Journal,05/06/2023,Bank Rec,,,CC topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,857",General Journal,05/06/2023,Bank Rec,,,Etoll topup,,,111000 · Westpac,,,,,,220,-220,-220,Bank,
"87,857",General Journal,05/06/2023,Bank Rec,,,Etoll topup,,,111018 · E-Toll Top Up,,,,,220,,220,220,Bank,
"87,858",General Journal,05/06/2023,Bank Rec,,,"Paid more ,refunded on 8.06.23 for Mechtric invNo504304",,,111000 · Westpac,Sydney:Sydney Other,,,,,60.23,-60.23,-60.23,Bank,
"87,858",General Journal,05/06/2023,Bank Rec,,,"Paid more ,refunded on 8.06.23 for Mechtric invNo504304",,,111020 · CLEARING ACCOUNT,Sydney:Sydney Other,,,,60.23,,60.23,60.23,Bank,
"87,859",General Journal,06/06/2023,Bank Rec,,,Etop up,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,859",General Journal,06/06/2023,Bank Rec,,,Etop up,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,860",General Journal,07/06/2023,Bank Rec,,,CC Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"2,000.00",-2000,"-2,000.00",Bank,
"87,860",General Journal,07/06/2023,Bank Rec,,,CC Topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"2,000.00",,2000,"2,000.00",Bank,
"87,860",General Journal,07/06/2023,Bank Rec,,,CC Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,860",General Journal,07/06/2023,Bank Rec,,,CC Topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,860",General Journal,07/06/2023,Bank Rec,,,CC Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"10,000.00",-10000,"-10,000.00",Bank,
"87,860",General Journal,07/06/2023,Bank Rec,,,CC Topup,,,212002 · FBT Payable,Sydney:Sydney Other,,,,"10,000.00",,10000,"10,000.00",Other Current Liability,
"87,861",General Journal,08/06/2023,Bank Rec,,,CC payment charge invNo 79146,,,111000 · Westpac,Sydney:Sydney Other,,,,6.6,,6.6,6.6,Bank,
"87,861",General Journal,08/06/2023,Bank Rec,,,CC payment charge invNo 79146,,,617001 · Bank Charges,Sydney:Sydney Other,,,,,6.6,-6.6,-6.6,Expense,
"87,862",General Journal,08/06/2023,Bank Rec,,,Overpayment refund Mechtic Inv No504304 (Payment 05.06.23),,,111000 · Westpac,Sydney:Sydney Other,,,,60.23,,60.23,60.23,Bank,
"87,862",General Journal,08/06/2023,Bank Rec,,,Overpayment refund Mechtic Inv No504304 (Payment 05.06.23),,,111020 · CLEARING ACCOUNT,Sydney:Sydney Other,,,,,60.23,-60.23,-60.23,Bank,
"87,863",General Journal,08/06/2023,Bank Rec,,,Trf Starluf,,,111000 · Westpac,Sydney:Sydney Other,,,,,"15,637.96",-15637.96,"-15,637.96",Bank,
"87,863",General Journal,08/06/2023,Bank Rec,,,Trf Starluf,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,"15,637.96",,15637.96,"15,637.96",Bank,
"87,864",General Journal,08/06/2023,Bank Rec,,,Etoll topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,864",General Journal,08/06/2023,Bank Rec,,,Etoll topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,865",General Journal,08/06/2023,Bank Rec,,,James Kourortis Deposit,,,111000 · Westpac,Sydney:Sydney Other,,,,"5,000.00",,5000,"5,000.00",Bank,
"87,865",General Journal,08/06/2023,Bank Rec,,,James Kourortis Deposit,,,111020 · CLEARING ACCOUNT,Sydney:Sydney Other,,,,,"5,000.00",-5000,"-5,000.00",Bank,
"87,889",General Journal,12/06/2023,Bank Rec,,,CC Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"87,889",General Journal,12/06/2023,Bank Rec,,,CC Topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"87,889",General Journal,12/06/2023,Bank Rec,,,Etoll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,889",General Journal,12/06/2023,Bank Rec,,,Etoll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,889",General Journal,12/06/2023,Bank Rec,,,Etoll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,889",General Journal,12/06/2023,Bank Rec,,,Etoll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"87,890",General Journal,13/06/2023,Bank Rec,,,CC Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"2,000.00",-2000,"-2,000.00",Bank,
"87,890",General Journal,13/06/2023,Bank Rec,,,CC Topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"2,000.00",,2000,"2,000.00",Bank,
"87,890",General Journal,13/06/2023,Bank Rec,,,VW Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,577.19,-577.19,-577.19,Bank,
"87,890",General Journal,13/06/2023,Bank Rec,,,VW Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,577.19,,577.19,577.19,Other Current Liability,
"87,890",General Journal,13/06/2023,Bank Rec,,,VW Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,636.82,-636.82,-636.82,Bank,
"87,890",General Journal,13/06/2023,Bank Rec,,,VW Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,636.82,,636.82,636.82,Other Current Liability,
"88,053",General Journal,13/06/2023,COGSadjMay,,,Bank rec adju,,,617001 · Bank Charges,Sydney:Sydney Other,,,,0.04,,0.04,0.04,Expense,
"88,053",General Journal,13/06/2023,COGSadjMay,,,Bank rec adju,,,111000 · Westpac,Sydney:Sydney Other,,,,,0.04,-0.04,-0.04,Bank,
"87,891",General Journal,14/06/2023,Bank Rec,,,ETollTopup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"87,891",General Journal,14/06/2023,Bank Rec,,,ETollTopup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"88,054",General Journal,14/06/2023,BankRec,,,Etoll topup,,,111000 · Westpac,Sydney:Sydney Other,,,,0,,0,0,Bank,
"88,054",General Journal,14/06/2023,BankRec,,,Etoll topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,0,,0,0,Bank,
"88,071",General Journal,15/06/2023,BankRecinte,,,Trf intercompany,,,111000 · Westpac,Sydney:Sydney Other,,,,,"15,062.71",-15062.71,"-15,062.71",Bank,
"88,071",General Journal,15/06/2023,BankRecinte,,,Trf intercompany,,,111031 · Interco with Starluf Pty Ltd,Sydney:Sydney Other,,,,"15,062.71",,15062.71,"15,062.71",Bank,
"88,189",General Journal,19/06/2023,Bankrec,,,Insurance Company deposit money to repair Lucy's Car,,,111000 · Westpac,Sydney:Sydney Other,,,,"1,709.09",,1709.09,"1,709.09",Bank,
"88,189",General Journal,19/06/2023,Bankrec,,,Insurance Company deposit money to repair Lucy's Car,,,111401 · Loan to Scott,Sydney:Sydney Other,,,,,"1,709.09",-1709.09,"-1,709.09",Other Asset,
"88,190",General Journal,19/06/2023,Bankrec,,,Deposit by Daniel Chitrani Gunasekera,,,111000 · Westpac,Sydney:Sydney Other,,,,"7,150.00",,7150,"7,150.00",Bank,
"88,190",General Journal,19/06/2023,Bankrec,,,Deposit by Daniel Chitrani Gunasekera,,,111020 · CLEARING ACCOUNT,Sydney:Sydney Other,,,,,"7,150.00",-7150,"-7,150.00",Bank,
"88,192",General Journal,19/06/2023,Bankrec,,,CC Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,"3,000.00",-3000,"-3,000.00",Bank,
"88,192",General Journal,19/06/2023,Bankrec,,,CC Topup,,,111004 · Master Card 8539,Sydney:Sydney Other,,,,"3,000.00",,3000,"3,000.00",Bank,
"88,192",General Journal,19/06/2023,Bankrec,,,Lease,,,111000 · Westpac,Sydney:Sydney Other,,,,,483.61,-483.61,-483.61,Bank,
"88,192",General Journal,19/06/2023,Bankrec,,,Lease,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,483.61,,483.61,483.61,Other Current Liability,
"88,192",General Journal,19/06/2023,Bankrec,,,VW Finance,,,111000 · Westpac,Sydney:Sydney Other,,,,,628.95,-628.95,-628.95,Bank,
"88,192",General Journal,19/06/2023,Bankrec,,,VW Finance,,,218000 · Hire Purchasing Liability,Sydney:Sydney Other,,,,628.95,,628.95,628.95,Other Current Liability,
"88,192",General Journal,19/06/2023,Bankrec,,,EToll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"88,192",General Journal,19/06/2023,Bankrec,,,EToll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"88,193",General Journal,20/06/2023,Bankrec,,,NRMA insurance MOT739355682230620,,,111000 · Westpac,Sydney:Sydney Other,,,,,130.51,-130.51,-130.51,Bank,
"88,193",General Journal,20/06/2023,Bankrec,,,NRMA insurance MOT739355682230620,,,612002 · Car Insurance,Sydney:Sydney Other,,,,130.51,,130.51,130.51,Expense,
"88,193",General Journal,20/06/2023,Bankrec,,,Etoll Topup,,,111000 · Westpac,Sydney:Sydney Other,,,,,220,-220,-220,Bank,
"88,193",General Journal,20/06/2023,Bankrec,,,Etoll Topup,,,111018 · E-Toll Top Up,Sydney:Sydney Other,,,,220,,220,220,Bank,
"88,724",General Journal,20/06/2023,CCJune23,,,CCJune23,,,111012 · MasterCard 9286,Sydney:Sydney Other,,,,,"4,053.87",-4053.87,"-4,053.87",Bank,
